date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2019-01-01,0.8,143.0,210,1.72,218.0,94.6,0.434,6.25531914893617,7,61.340425531914896,129.06382978723406,42.61914893617021,24.106382978723403,115,29.638297872340427,246,11.638297872340424,9.1,14.0,0.0893617021276595,0.0,0.5,90.04042553191489,84.7,95.9,1031.9021276595745,1030.8,1034.5,256.3404255319149,227,312,5.036170212765957,2.2,7.4,1
2019-01-02,16.9,143.0,210,1.72,218.0,94.6,0.434,3.375,5,59.520833333333336,120.47916666666669,4.558333333333334,49.0625,279,81.70833333333333,523,7.352083333333333,6.0,9.0,0.0416666666666666,0.0,0.2,75.19583333333334,67.1,84.0,1034.84375,1031.6,1038.1,317.4375,294,339,6.245833333333334,2.0,7.6,1
2019-01-03,1.4,143.0,210,1.72,218.0,94.6,0.434,-0.6666666666666666,2,59.91666666666666,121.58333333333331,22.277083333333334,33.4375,150,38.0625,205,9.020833333333334,6.5,11.6,0.0520833333333333,0.0,0.3,89.16041666666666,80.6,95.2,1038.25625,1037.5,1039.3,290.9791666666667,211,345,2.154166666666667,1.1,3.5,1
2019-01-04,6.6,143.0,210,1.72,218.0,94.6,0.434,1.0833333333333333,3,63.16666666666666,134.9375,57.04791666666667,43.708333333333336,268,55.625,478,11.30625,10.1,13.2,0.0291666666666666,0.0,0.1,89.77291666666667,80.6,97.6,1037.075,1035.6,1038.6,227.04166666666663,2,359,2.6375,0.6,4.6,1
2019-01-05,0.3,143.0,210,1.72,218.0,94.6,0.434,2.4791666666666665,4,60.8125,126.16666666666669,82.42291666666667,13.416666666666666,87,12.958333333333334,84,15.9125,13.2,20.5,0.3354166666666667,0.0,0.8,93.13958333333332,89.3,98.4,1032.7229166666666,1031.7,1035.6,259.7708333333333,236,287,5.2125,3.7,6.2,1
2019-01-06,0.7,143.0,210,1.72,218.0,94.6,0.434,3.75,4,62.75,131.64583333333334,74.675,21.0,98,20.3125,94,14.252083333333331,13.2,15.4,0.2979166666666666,0.1,0.5,92.79375,91.2,93.8,1033.3645833333333,1031.8,1035.0,276.6666666666667,235,290,3.9375,2.5,5.8,1
2019-01-07,1.2,143.0,210,1.72,218.0,94.6,0.434,3.333333333333333,4,64.64583333333333,135.60416666666666,58.41666666666666,24.4375,112,23.979166666666668,108,13.120833333333332,9.7,19.7,0.0625,0.0,0.3,89.50416666666666,82.2,93.8,1033.525,1028.9,1034.9,254.375,213,300,3.2854166666666664,1.7,7.7,1
2019-01-08,9.5,143.0,210,1.72,218.0,94.6,0.434,4.833333333333333,6,64.27083333333333,132.89583333333334,68.14375,41.16666666666666,267,59.75,489,12.854166666666666,9.3,19.3,0.3208333333333333,0.1,0.7,85.91458333333333,78.6,93.5,1021.1875,1018.4,1028.3,251.6875,214,285,8.547916666666667,6.9,9.7,1
2019-01-09,5.3,143.0,210,1.72,218.0,94.6,0.434,2.708333333333333,4,64.16666666666667,129.66666666666666,66.27083333333333,32.75,222,41.020833333333336,288,9.391666666666667,8.6,10.5,0.1583333333333333,0.0,0.6,82.65833333333333,72.5,90.2,1017.16875,1015.5,1019.9,308.7916666666667,0,360,6.620833333333334,3.7,8.4,1
2019-01-10,0.5,143.0,210,1.72,218.0,94.6,0.434,1.0,2,64.3125,128.25,45.225,17.270833333333332,110,16.708333333333332,106,7.633333333333333,5.7,9.2,0.0354166666666666,0.0,0.1,84.49583333333334,75.3,89.9,1024.0083333333334,1020.0,1026.9,156.625,2,357,4.45625,2.3,5.5,1
2019-01-11,1.2,143.0,210,1.72,218.0,94.6,0.434,-0.0416666666666666,1,65.625,133.64583333333334,74.31875000000001,21.104166666666668,111,20.375,107,12.604166666666666,7.1,15.7,0.1125,0.0,0.3,89.04583333333333,84.3,92.3,1026.66875,1025.9,1027.3,251.97916666666663,220,360,3.6666666666666665,0.9,5.9,1
2019-01-12,0.8,143.0,210,1.72,218.0,94.6,0.434,2.895833333333333,4,67.08333333333333,136.54166666666666,83.32708333333333,18.75,104,18.125,101,15.035416666666668,12.0,19.0,0.375,0.0,1.6,90.77291666666667,85.8,94.2,1023.65625,1017.4,1027.2,222.35416666666663,211,230,7.05625,5.3,9.7,1
2019-01-13,0.2,143.0,210,1.72,218.0,94.6,0.434,7.083333333333333,9,65.27083333333333,130.89583333333334,84.03333333333333,14.1875,79,13.6875,76,19.58333333333333,14.7,23.1,0.6208333333333333,0.2,1.2,91.22708333333333,88.0,95.1,1012.05,1006.7,1017.2,243.5,223,280,8.935416666666667,6.4,11.2,1
